Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[individual]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[sampling site]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[single cell isolation]	Comment[spike in]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[single cell identifier]
Sample 1	ERS13531998	SAMEA111438576	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 1	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_A1_S1_L001	group 1	sequencing assay	ERX9850133	20180217_Lane1_Skin_A1_S1_L001_R1_001.fastq.gz	20180217_Lane1_Skin_A1_S1_L001_R1_001.fastq.gz	ERR10315265	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/065/ERR10315265/ERR10315265.fastq.gz	1
Sample 1	ERS13531998	SAMEA111438576	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 1	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1001_S1_L001	group 1	sequencing assay	ERX9850133	P8467_1001_S1_L001_R1_001.fastq.gz	P8467_1001_S1_L001_R1_001.fastq.gz	ERR10315266	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/066/ERR10315266/ERR10315266.fastq.gz	1
Sample 1	ERS13531998	SAMEA111438576	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 1	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_A1_S1_L002	group 1	sequencing assay	ERX9850133	20180217_Lane2_Skin_A1_S1_L002_R1_001.fastq.gz	20180217_Lane2_Skin_A1_S1_L002_R1_001.fastq.gz	ERR10315267	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/067/ERR10315267/ERR10315267.fastq.gz	1
Sample 1	ERS13531998	SAMEA111438576	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 1	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_A1_S1_L003	group 1	sequencing assay	ERX9850133	20180217_Lane3_Skin_A1_S1_L003_R1_001.fastq.gz	20180217_Lane3_Skin_A1_S1_L003_R1_001.fastq.gz	ERR10315268	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/068/ERR10315268/ERR10315268.fastq.gz	1
Sample 1	ERS13531998	SAMEA111438576	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 1	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1001_S1_L002	group 1	sequencing assay	ERX9850133	P8467_1001_S1_L002_R1_001.fastq.gz	P8467_1001_S1_L002_R1_001.fastq.gz	ERR10315269	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/069/ERR10315269/ERR10315269.fastq.gz	1
Sample 10	ERS13531999	SAMEA111438577	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 10	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_C2_S10_L003	group 2	sequencing assay	ERX9850134	20180217_Lane3_Skin_C2_S10_L003_R1_001.fastq.gz	20180217_Lane3_Skin_C2_S10_L003_R1_001.fastq.gz	ERR10315270	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/070/ERR10315270/ERR10315270.fastq.gz	10
Sample 10	ERS13531999	SAMEA111438577	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 10	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_C2_S10_L002	group 2	sequencing assay	ERX9850134	20180217_Lane2_Skin_C2_S10_L002_R1_001.fastq.gz	20180217_Lane2_Skin_C2_S10_L002_R1_001.fastq.gz	ERR10315271	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/071/ERR10315271/ERR10315271.fastq.gz	10
Sample 10	ERS13531999	SAMEA111438577	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 10	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1010_S10_L001	group 2	sequencing assay	ERX9850134	P8467_1010_S10_L001_R1_001.fastq.gz	P8467_1010_S10_L001_R1_001.fastq.gz	ERR10315272	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/072/ERR10315272/ERR10315272.fastq.gz	10
Sample 10	ERS13531999	SAMEA111438577	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 10	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1010_S10_L002	group 2	sequencing assay	ERX9850134	P8467_1010_S10_L002_R1_001.fastq.gz	P8467_1010_S10_L002_R1_001.fastq.gz	ERR10315273	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/073/ERR10315273/ERR10315273.fastq.gz	10
Sample 10	ERS13531999	SAMEA111438577	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 10	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_C2_S10_L001	group 2	sequencing assay	ERX9850134	20180217_Lane1_Skin_C2_S10_L001_R1_001.fastq.gz	20180217_Lane1_Skin_C2_S10_L001_R1_001.fastq.gz	ERR10315274	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/074/ERR10315274/ERR10315274.fastq.gz	10
