fastq,cell,cluster
P8467_1001,1,Lower.Hair.Follicle
P8467_1002,2,T.Cells
P8467_1003,3,Lower.Hair.Follicle
P8467_1004,4,Upper.Hair.Follicle
P8467_1005,5,T.Cells
P8467_1006,6,Upper.Hair.Follicle
P8467_1007,7,Skin.Fibroblasts
P8467_1008,8,Dendritic.Cells
P8467_1009,9,T.Cells
P8467_1010,10,Upper.Hair.Follicle
P8467_1011,11,Endothelial.Cells
P8467_1012,12,Lower.Hair.Follicle
P8467_1013,13,Interfollicular.Epidermis
P8467_1014,14,Dermal.Papillae
P8467_1015,15,T.Cells
P8467_1016,16,Interfollicular.Epidermis
P8467_1017,17,Interfollicular.Epidermis
P8467_1018,18,Mixed.Cluster
P8467_1019,19,Lower.Hair.Follicle
P8467_1020,20,T.Cells
P8467_1021,21,Lower.Hair.Follicle
P8467_1022,22,T.Cells
P8467_1023,23,T.Cells
P8467_1024,24,T.Cells
P8467_1025,25,T.Cells
P8467_1026,26,Interfollicular.Epidermis
P8467_1027,27,Lower.Hair.Follicle
P8467_1028,28,Lower.Hair.Follicle
P8467_1029,29,T.Cells
P8467_1030,30,Dermal.Papillae
P8467_1031,31,Lower.Hair.Follicle
P8467_1032,32,T.Cells
P8467_1033,33,Macrophages
P8467_1034,34,Mixed.Cluster
P8467_1035,35,Endothelial.Cells
P8467_1036,36,T.Cells
P8467_1037,37,T.Cells
P8467_1038,38,Lower.Hair.Follicle
P8467_1039,39,Mixed.Cluster
P8467_1040,40,Skin.Fibroblasts
P8467_1041,41,Skin.Fibroblasts
P8467_1042,42,Macrophages
P8467_1043,43,Interfollicular.Epidermis
P8467_1044,44,Lower.Hair.Follicle
P8467_1045,45,Mixed.Cluster
P8467_1046,46,Macrophages
P8467_1047,47,Lower.Hair.Follicle
P8467_1048,48,Skin.Fibroblasts
P8467_1049,49,Interfollicular.Epidermis
P8467_1050,50,T.Cells
P8467_1051,51,T.Cells
P8467_1052,52,Upper.Hair.Follicle
P8467_1053,53,Dermal.Papillae
P8467_1054,54,Upper.Hair.Follicle
P8467_1055,55,Dermal.Papillae
P8467_1056,56,Mixed.Cluster
P8467_1057,57,Lower.Hair.Follicle
P8467_1058,58,Interfollicular.Epidermis
P8467_1059,59,T.Cells
P8467_1060,60,Lower.Hair.Follicle
P8467_1061,61,Dermal.Papillae
P8467_1062,62,Interfollicular.Epidermis
P8467_1063,63,T.Cells
P8467_1064,64,T.Cells
P8467_1065,65,Skin.Fibroblasts
P8467_1066,66,Macrophages
P8467_1067,67,T.Cells
P8467_1068,68,T.Cells
P8467_1069,69,T.Cells
P8467_1070,70,Interfollicular.Epidermis
P8467_1071,71,T.Cells
P8467_1072,72,Upper.Hair.Follicle
P8467_1073,73,Lower.Hair.Follicle
P8467_1074,74,Upper.Hair.Follicle
P8467_1075,75,T.Cells
P8467_1076,76,Lower.Hair.Follicle
P8467_1077,77,Upper.Hair.Follicle
P8467_1078,78,T.Cells
P8467_1079,79,Interfollicular.Epidermis
P8467_1080,80,T.Cells
P8467_1081,81,Macrophages
P8467_1082,82,Upper.Hair.Follicle
P8467_1083,83,Lower.Hair.Follicle
P8467_1084,84,T.Cells
P8467_1085,85,T.Cells
P8467_1086,86,Mixed.Cluster
P8467_1087,87,Mixed.Cluster
P8467_1088,88,Lower.Hair.Follicle
P8467_1089,89,Lower.Hair.Follicle
P8467_1090,90,Lower.Hair.Follicle
P8467_1091,91,Mixed.Cluster
P8467_1092,92,T.Cells
P8467_1093,93,Dermal.Papillae
P8467_1094,94,Mixed.Cluster
P8467_1095,95,Upper.Hair.Follicle
P8467_1096,96,T.Cells
P8467_1097,97,Lower.Hair.Follicle
P8467_1098,98,T.Cells
P8467_1099,99,T.Cells
P8467_1100,100,Lower.Hair.Follicle
P8467_1101,101,Dermal.Papillae
P8467_1102,102,T.Cells
P8467_1103,103,Lower.Hair.Follicle
P8467_1104,104,Upper.Hair.Follicle
P8467_1105,105,Lower.Hair.Follicle
P8467_1106,106,Macrophages
P8467_1107,107,Macrophages
P8467_1108,108,Macrophages
P8467_1109,109,Dermal.Papillae
P8467_1110,110,Dermal.Papillae
P8467_1111,111,Skin.Fibroblasts
P8467_1112,112,T.Cells
P8467_1113,113,Lower.Hair.Follicle
P8467_1114,114,Macrophages
P8467_1115,115,Mixed.Cluster
P8467_1116,116,Interfollicular.Epidermis
P8467_1117,117,Upper.Hair.Follicle
P8467_1118,118,Upper.Hair.Follicle
P8467_1119,119,Lower.Hair.Follicle
P8467_1120,120,Interfollicular.Epidermis
P8467_1121,121,Upper.Hair.Follicle
P8467_1122,122,Lower.Hair.Follicle
P8467_1123,123,Lower.Hair.Follicle
P8467_1124,124,Lower.Hair.Follicle
P8467_1125,125,Mixed.Cluster
P8467_1126,126,T.Cells
P8467_1127,127,T.Cells
P8467_1128,128,T.Cells
P8467_1129,129,Macrophages
P8467_1130,130,Mixed.Cluster
P8467_1131,131,Lower.Hair.Follicle
P8467_1132,132,Upper.Hair.Follicle
P8467_1133,133,Dermal.Papillae
P8467_1134,134,Upper.Hair.Follicle
P8467_1135,135,Upper.Hair.Follicle
P8467_1136,136,Endothelial.Cells
P8467_1137,137,Lower.Hair.Follicle
P8467_1138,138,T.Cells
P8467_1139,139,Upper.Hair.Follicle
P8467_1140,140,Upper.Hair.Follicle
P8467_1141,141,Dermal.Papillae
P8467_1142,142,T.Cells
P8467_1143,143,Interfollicular.Epidermis
P8467_1144,144,T.Cells
P8467_1145,145,Macrophages
P8467_1146,146,T.Cells
P8467_1147,147,Interfollicular.Epidermis
P8467_1148,148,Lower.Hair.Follicle
P8467_1149,149,Interfollicular.Epidermis
P8467_1150,150,Dermal.Papillae
P8467_1151,151,Interfollicular.Epidermis
P8467_1152,152,Skin.Fibroblasts
P8467_1153,153,Macrophages
P8467_1154,154,T.Cells
P8467_1155,155,T.Cells
P8467_1156,156,Lower.Hair.Follicle
P8467_1157,157,Skin.Fibroblasts
P8467_1158,158,Lower.Hair.Follicle
P8467_1159,159,Interfollicular.Epidermis
P8467_1160,160,T.Cells
P8467_1161,161,Macrophages
P8467_1162,162,Skin.Fibroblasts
P8467_1163,163,Lower.Hair.Follicle
P8467_1164,164,Lower.Hair.Follicle
P8467_1165,165,Upper.Hair.Follicle
P8467_1166,166,Lower.Hair.Follicle
P8467_1167,167,Interfollicular.Epidermis
P8467_1168,168,Dermal.Papillae
P8467_1169,169,Interfollicular.Epidermis
P8467_1170,170,Lower.Hair.Follicle
P8467_1171,171,T.Cells
P8467_1172,172,Macrophages
P8467_1173,173,Dendritic.Cells
P8467_1174,174,Dendritic.Cells
P8467_1175,175,T.Cells
P8467_1176,176,Skin.Fibroblasts
P8467_1177,177,Lower.Hair.Follicle
P8467_1178,178,Upper.Hair.Follicle
P8467_1179,179,Skin.Fibroblasts
P8467_1180,180,T.Cells
P8467_1181,181,Interfollicular.Epidermis
P8467_1182,182,Interfollicular.Epidermis
P8467_1183,183,T.Cells
P8467_1184,184,T.Cells
P8467_1185,185,T.Cells
P8467_1186,186,Macrophages
P8467_1187,187,Lower.Hair.Follicle
P8467_1188,188,T.Cells
P8467_1189,189,Upper.Hair.Follicle
P8467_1190,190,T.Cells
P8467_1191,191,Interfollicular.Epidermis
P8467_1192,192,Endothelial.Cells
P8467_1193,193,Upper.Hair.Follicle
P8467_1194,194,Interfollicular.Epidermis
P8467_1195,195,Upper.Hair.Follicle
P8467_1196,196,Interfollicular.Epidermis
P8467_1197,197,Mixed.Cluster
P8467_1198,198,Mixed.Cluster
P8467_1199,199,Endothelial.Cells
P8467_1200,200,Interfollicular.Epidermis
P8467_1201,201,Upper.Hair.Follicle
P8467_1202,202,Macrophages
P8467_1203,203,T.Cells
P8467_1204,204,Lower.Hair.Follicle
P8467_1205,205,Interfollicular.Epidermis
P8467_1206,206,Mixed.Cluster
P8467_1207,207,T.Cells
P8467_1208,208,Lower.Hair.Follicle
P8467_1209,209,Lower.Hair.Follicle
P8467_1210,210,Macrophages
P8467_1211,211,T.Cells
P8467_1212,212,Lower.Hair.Follicle
P8467_1213,213,Interfollicular.Epidermis
P8467_1214,214,Dermal.Papillae
P8467_1215,215,Lower.Hair.Follicle
P8467_1216,216,Lower.Hair.Follicle
P8467_1217,217,Lower.Hair.Follicle
P8467_1218,218,Lower.Hair.Follicle
P8467_1219,219,Lower.Hair.Follicle
P8467_1220,220,Mixed.Cluster
P8467_1221,221,Skin.Fibroblasts
P8467_1222,222,Endothelial.Cells
P8467_1223,223,Interfollicular.Epidermis
P8467_1224,224,T.Cells
P8467_1225,225,Interfollicular.Epidermis
